Id,MSSubClass,LotFrontage,LotArea,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,Foundation,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,SaleType,SaleCondition,SalePrice,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,LandSlope_Mod,LandSlope_Sev,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,ExterCond_TA,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtCond_Gd,BsmtCond_Po,BsmtCond_TA,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,Heating_GasA,Heating_GasW,Heating_Grav,Heating_Wall,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,HeatingQC_TA,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mix,Electrical_SBrkr,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_RFn,GarageFinish_Unf,GarageQual_Fa,GarageQual_Gd,GarageQual_Po,GarageQual_TA,GarageCond_Fa,GarageCond_Gd,GarageCond_Po,GarageCond_TA,PavedDrive_P,PavedDrive_Y
1,60,65.0,8450,193562.33333333334,172579.09455587392,169601.1319966583,197411.99431818182,7,5,2003,2003,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,196.0,205998.1303538175,213245.82300884955,706.0,170898.55865921787,150.0,856.0,856,854,1710,1.0,2,1,3,1,8,171603.08880994673,0,181878.3426395939,2003.0,2.0,548.0,0,61,0,0,0,165659.6867356538,167401.3746283449,208500.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
2,20,80.0,9600,213055.55555555556,141297.95588235295,169601.1319966583,164390.43207855974,6,8,1976,1976,166931.7105263158,169270.6432748538,145707.9375,146256.2780748663,0.0,144048.07372400755,153928.9402173913,978.0,170898.55865921787,284.0,1262.0,1262,0,1262,0.0,2,0,3,1,6,171603.08880994673,1,181878.3426395939,1976.0,2.0,460.0,298,0,0,0,0,165659.6867356538,167401.3746283449,181500.0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
3,60,68.0,11250,193562.33333333334,172579.09455587392,169601.1319966583,197411.99431818182,7,5,2001,2002,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,162.0,205998.1303538175,213245.82300884955,486.0,170898.55865921787,434.0,920.0,920,866,1786,1.0,2,1,3,1,6,171603.08880994673,1,181878.3426395939,2001.0,2.0,608.0,0,42,0,0,0,165659.6867356538,167401.3746283449,223500.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
5,60,84.0,14260,278042.7272727273,172579.09455587392,169601.1319966583,197411.99431818182,8,5,2000,2000,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,350.0,205998.1303538175,213245.82300884955,655.0,170898.55865921787,490.0,1145.0,1145,1053,2198,1.0,2,1,4,1,9,171603.08880994673,1,181878.3426395939,2000.0,3.0,836.0,192,84,0,0,0,165659.6867356538,167401.3746283449,250000.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
6,50,85.0,14115,154414.45454545456,172579.09455587392,169601.1319966583,134325.20588235295,5,5,1993,1995,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,0.0,196500.0,213245.82300884955,732.0,170898.55865921787,64.0,796.0,796,566,1362,1.0,1,1,1,1,5,171603.08880994673,0,181878.3426395939,1993.0,2.0,480.0,40,30,0,0,0,165659.6867356538,167401.3746283449,143000.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
7,20,75.0,10084,218798.45833333334,172579.09455587392,169601.1319966583,164390.43207855974,8,5,2004,2005,166931.7105263158,169270.6432748538,199781.40454545454,200100.54292343388,186.0,205998.1303538175,213245.82300884955,1369.0,170898.55865921787,317.0,1686.0,1694,0,1694,1.0,2,0,3,1,7,171603.08880994673,1,181878.3426395939,2004.0,2.0,636.0,255,57,0,0,0,165659.6867356538,167401.3746283449,307000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
8,60,69.30579531442663,10382,181658.0158730159,189522.72727272726,169601.1319966583,197411.99431818182,7,6,1973,1973,166931.7105263158,169270.6432748538,156462.59595959596,159147.75690607735,240.0,144048.07372400755,153928.9402173913,859.0,140536.89285714287,216.0,1107.0,1107,983,2090,1.0,2,1,3,1,7,171603.08880994673,2,181878.3426395939,1973.0,2.0,484.0,235,204,228,0,0,165659.6867356538,167401.3746283449,200000.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
9,50,51.0,6120,117921.19047619047,117730.76923076923,169601.1319966583,134325.20588235295,7,5,1931,1950,166931.7105263158,169270.6432748538,162543.05555555556,145034.4827586207,0.0,123700.30172413793,156463.9871794872,0.0,170898.55865921787,952.0,952.0,1022,752,1774,0.0,2,0,2,2,8,138220.37037037036,2,131189.86280487804,1931.0,2.0,468.0,90,0,205,0,0,165659.6867356538,139055.156626506,129900.0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1
10,190,50.0,7420,123938.77551020408,117730.76923076923,106500.0,110150.0,5,6,1939,1950,166931.7105263158,169270.6432748538,145707.9375,146256.2780748663,0.0,123700.30172413793,213245.82300884955,851.0,170898.55865921787,140.0,991.0,1077,0,1077,1.0,1,0,2,2,5,171603.08880994673,2,181878.3426395939,1939.0,1.0,205.0,0,4,0,0,0,165659.6867356538,167401.3746283449,118000.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
11,20,70.0,11200,136169.4492753623,172579.09455587392,169601.1319966583,164390.43207855974,5,5,1965,1965,181451.1616161616,169270.6432748538,156462.59595959596,159147.75690607735,0.0,144048.07372400755,142770.68468468467,906.0,170898.55865921787,134.0,1040.0,1040,0,1040,1.0,1,0,3,1,5,171603.08880994673,0,131189.86280487804,1965.0,1.0,384.0,0,0,0,0,0,165659.6867356538,167401.3746283449,129500.0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1
